source_id,source_title,publisher,publication_year,url,source_type,accessed_date,notes
SRC_CLE_WATER_TREATMENT,Water Treatment,Cleveland Water,,https://www.clevelandwater.com/your-water/water-treatment,webpage,2026-08-24,Used for current plant average production values; 540 MGD total capacity is reported separately.
SRC_CLE_WATER_CURRENT,Cleveland Water current system information,Cleveland Water,,https://www.clevelandwater.com/,webpage,2026-08-24,Raw research states >1.4 million people and 80 communities.
SRC_CLE_CAP_USER,Manually confirmed Cleveland treatment capacity,Internal verification,2026,,manually_confirmed,2026-08-26,The value '540*' was manually confirmed as the missing Cleveland treatment-capacity field. Exact external source URL/citation still needs to be attached; asterisk retained as a qualification in notes.
SRC_AKR_AIS_2025,2025 Annual Informational Statement,City of Akron,2025,https://cms2.revize.com/revize/akronoh/Documents/Departments/Finance/Reports/Annual%20Informational%20Statement/2025%20AIS.pdf?t=202510310820520,annual_information_statement,2026-08-24,Used for 2023 average daily pumpage/consumption and system context; raw research also attributes approved treatment capacity to Ohio EPA.
SRC_AKR_AIS_2023,2023 Annual Informational Statement,City of Akron,2023,https://cms2.revize.com/revize/akronoh/Documents/Departments/Finance/Reports/Annual%20Informational%20Statement/2023%20AIS.pdf,annual_information_statement,2026-08-24,Source description for Cuyahoga River and four-reservoir system.
SRC_MVSD_ACFR_2024,Mahoning Valley Sanitary District 2024 Annual Comprehensive Financial Report,Mahoning Valley Sanitary District / Ohio Auditor,2025,https://ohioauditor.gov/AuditSearch/Reports/2025/Mahoning_Valley_Sanitary_District_24_Trumbull_FINAL.pdf,acfr,2026-08-24,"Used for 2024 average daily usage, rated treatment capacity, drought safe yield, annual production, and storage context."
SRC_MVSD_ABOUT,About Us,Mahoning Valley Sanitary District,,https://www.meanderwater.org/about-us,webpage,2026-08-24,"Used for Meander Creek Reservoir storage and approximately 220,000 people served."
SRC_MVSD_DISTRICT,District Information,Mahoning Valley Sanitary District,,https://www.meanderwater.org/district-information,webpage,2026-08-24,Wholesale/service relationship context.
SRC_ERIE_PERKINS_CCR_2024,2024 Perkins Water Quality Report,Erie County Government,2024,https://www.eriecounty.oh.gov/Downloads/2024PerkinsWaterQualityReport.pdf,consumer_confidence_report,2026-08-26,Identifies Sandusky and Huron suppliers; countywide 2024 distribution context.
SRC_ERIE_MARCH146,Erie County water system document (March 146),Erie County Government,,https://www.eriecounty.oh.gov/Downloads/March%20146.pdf?v=0,government_document,2026-08-26,States Erie County does not operate a water treatment plant and provides purchase-volume context.
SRC_ERIE_PWS_RECORD,Erie County public water system schedule / PWS record,Ohio EPA,,https://dam.assets.ohio.gov/image/upload/epa.ohio.gov/Portals/28/documents/schedules/Erie.pdf,pws_record,2026-08-26,"Identifies Perkins District OH2200603 as purchased surface water. The 17,241 served-population figure in the raw research should be independently rechecked because its cited supporting document is indirect."
SRC_LAKE_BACON,Bacon Road Water Treatment Facility,Lake County Department of Utilities,,https://www.lakecountyohio.gov/utilities/bacon-road-water-treatment-facility/,webpage,2026-08-26,"Used for Lake Erie source, roughly 3 MGD current daily provision, >36,000 residents, and clearwell context."
SRC_LAKE_WATER_DIV,Water Division,Lake County Department of Utilities,,https://www.lakecountyohio.gov/utilities/water-division/,webpage,2026-08-26,Used for Bacon Road 9 MGD design capacity.
SRC_PORT_WATER_FACILITIES,Water Supply Facilities,Portage County Water Resources,,https://www.portagecounty-oh.gov/water-resources/pages/water-supply-facilities,webpage,2026-08-26,"PCWR-wide 3.12 MGD production + 0.20 MGD purchased and ~30,000 equivalent population; these are not Shalersville-specific core values."
SRC_PORT_LAND_USE,Shalersville Land Use Plan (draft),Portage County,,https://www.portagecounty-oh.gov/sites/g/files/vyhlif3706/f/pages/draft_land_use_plan_june.pdf,planning_document,2026-08-26,"Used for five-well field, service geography, and 4 MGD peak capacity."
SRC_CANTON_2025,Canton Water Department 2025 Year in Review,City of Canton,2025,https://www.cantonohio.gov/187/Water,webpage,2026-08-26,Reports 6.42 BG produced in 2025; 17.59 MGD is derived from that annual figure.
SRC_CANTON_CAPACITY,Canton Water Model Presentation / One Water,City of Canton / Arcadis,2021,https://www.onewaterohio.org/docs/Canton_Water_Model_Presentation_One_Water_Final.pdf,presentation,2026-08-26,Reports three treatment plants and 44 MGD rated capacity. Older than other core Canton observations; retain year caveat.
SRC_CANTON_CUSTOMERS,Canton Water customer count source,City of Canton,,https://app.cantonohio.gov/newsprint.php?s=405,webpage,2026-08-26,"Raw research reports >40,000 customer accounts; source is older and should be refreshed if a current count becomes available."
