IT capacity (MW),Water-intensity scenario,Water intensity (L/kWh),Modeled water demand (MGD),Modeled annual water demand (MG/year),Modeled annual water demand (BG/year),water_system_id,water_system,treatment_capacity_mgd,capacity_status,pct_treatment_capacity
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.0029352453703703706
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,AKR_WATER,City of Akron Water Supply,67.0,available,0.023657201492537316
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.026417208333333338
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,0.17611472222222224
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,0.39625812500000007
50,Very low water,0.05,0.015850325000000002,5.785368625,0.0057853686250000005,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.03602346590909092
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.011740981481481482
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,AKR_WATER,City of Akron Water Supply,67.0,available,0.09462880597014926
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.10566883333333335
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,0.704458888888889
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,1.5850325000000003
50,Low water,0.2,0.06340130000000001,23.1414745,0.023141474500000002,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.14409386363636367
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.023481962962962965
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,AKR_WATER,City of Akron Water Supply,67.0,available,0.18925761194029853
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.2113376666666667
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,1.408917777777778
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,3.1700650000000006
50,Moderate water,0.4,0.12680260000000002,46.282949,0.046282949000000004,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.28818772727272735
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.08805736111111111
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,AKR_WATER,City of Akron Water Supply,67.0,available,0.7097160447761195
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.7925162500000001
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,5.283441666666667
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,11.88774375
50,Water-intensive cooling,1.5,0.47550975,173.56105875,0.17356105875,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,1.0807039772727274
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.008805736111111111
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,AKR_WATER,City of Akron Water Supply,67.0,available,0.07097160447761194
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.079251625
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,0.5283441666666667
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,1.1887743750000002
150,Very low water,0.05,0.047550975,17.356105875,0.017356105875,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.10807039772727273
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.035222944444444446
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,AKR_WATER,City of Akron Water Supply,67.0,available,0.2838864179104478
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.3170065
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,2.113376666666667
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,4.755097500000001
150,Low water,0.2,0.1902039,69.4244235,0.0694244235,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.4322815909090909
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.07044588888888889
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,AKR_WATER,City of Akron Water Supply,67.0,available,0.5677728358208955
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.634013
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,4.226753333333334
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,9.510195000000001
150,Moderate water,0.4,0.3804078,138.848847,0.138848847,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.8645631818181818
